Index,title,artist,image,rank,year
2883,Can't Remember To Forget You,Shakira Featuring Rihanna,https://charts-static.billboard.com/img/1996/03/shakira-snl-53x53.jpg,85,2014
2884,Amnesia,5 Seconds Of Summer,https://charts-static.billboard.com/img/2013/11/5-seconds-of-summer-uvt-53x53.jpg,86,2014
2885,No Mediocre,T.I. Featuring Iggy Azalea,https://charts-static.billboard.com/img/2014/07/ti-e27-53x53.jpg,87,2014
2886,Come With Me Now,KONGOS,https://charts-static.billboard.com/img/2014/02/kongos-um1-53x53.jpg,88,2014
2887,Believe Me,Lil Wayne Featuring Drake,https://charts-static.billboard.com/img/2014/05/lil-wayne-0sn-53x53.jpg,89,2014
2888,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",https://charts-static.billboard.com/img/2013/09/mike-will-made-it-roq-53x53.jpg,90,2014
2889,Beachin',Jake Owen,https://charts-static.billboard.com/img/2013/11/jake-owen-17q-53x53.jpg,91,2014
2890,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,https://charts-static.billboard.com/img/2012/10/macklemore-ryan-lewis-th1-53x53.jpg,92,2014
2891,She Looks So Perfect,5 Seconds Of Summer,https://charts-static.billboard.com/img/2014/04/5-seconds-of-summer-oh3-53x53.jpg,93,2014
2892,Stay The Night,Zedd Featuring Hayley Williams,https://charts-static.billboard.com/img/2013/09/zedd-edd-53x53.jpg,94,2014
2893,Partition,Beyonce,https://charts-static.billboard.com/img/1840/12/beyonce-hk0-53x53.jpg,95,2014
2894,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,https://charts-static.billboard.com/img/2014/03/schoolboy-q-n3s-53x53.jpg,96,2014
2895,0 To 100 / The Catch Up,Drake,https://charts-static.billboard.com/img/1840/12/drake-zwl-53x53.jpg,97,2014
2896,I Don't Dance,Lee Brice,https://charts-static.billboard.com/img/2014/02/lee-brice-qkz-53x53.jpg,98,2014
2897,Somethin' Bad,Miranda Lambert Duet With Carrie Underwood,https://charts-static.billboard.com/img/2014/06/miranda-lambert-miy-53x53.jpg,99,2014
2898,Adore You,Miley Cyrus,https://charts-static.billboard.com/img/2013/10/miley-cyrus-clj-53x53.jpg,100,2014
2899,Uptown Funk!,Mark Ronson Featuring Bruno Mars,https://charts-static.billboard.com/img/2014/11/mark-ronson-9s8-53x53.jpg,1,2015
2900,Thinking Out Loud,Ed Sheeran,https://charts-static.billboard.com/img/2011/07/ed-sheeran-3vg-87x87.jpg,2,2015
2901,See You Again,Wiz Khalifa Featuring Charlie Puth,https://charts-static.billboard.com/img/2015/03/wiz-khalifa-b1e-53x53.jpg,3,2015
2902,Trap Queen,Fetty Wap,https://charts-static.billboard.com/img/2015/01/fetty-wap-vik-53x53.jpg,4,2015
2903,Sugar,Maroon 5,https://www.billboard.com/assets/1606143657/images/charts/bb-placeholder-new.jpg?ed9f7c62d54f7662233f,5,2015
2904,Shut Up And Dance,WALK THE MOON,https://charts-static.billboard.com/img/1840/12/walk-the-moon-mpm-53x53.jpg,6,2015
2905,Blank Space,Taylor Swift,https://charts-static.billboard.com/img/2006/07/taylor-swift-w40-53x53.jpg,7,2015
2906,Watch Me,Silento,https://charts-static.billboard.com/img/2015/03/silento-7d0-53x53.jpg,8,2015
2907,Earned It (Fifty Shades Of Grey),The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,9,2015
2908,The Hills,The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,10,2015
2909,Cheerleader,OMI,https://charts-static.billboard.com/img/2015/02/omi-z6g-53x53.jpg,11,2015
2910,Can't Feel My Face,The Weeknd,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-53x53.jpg,12,2015
